instance_id,num_agents,num_resources,prop_status,prop_time_in_seconds,prop_num_sharing,prop_product,ef_status,ef_time_in_seconds,ef_num_sharing,ef_product,maxprod1_status,maxprod1_time_in_seconds,maxprod1_num_sharing,maxprod1_product,maxprod0_status,maxprod0_time_in_seconds,maxprod0_num_sharing,maxprod0_product
608,2,3,OK,0.019138,1,312909.47999999986,OK,0.025747000000000003,1,316628.73,OK,0.018785,1,321428.5199999998,,,,
644,3,3,OK,0.024599,0,325778256.0000004,OK,0.047174,0,325778256.0000004,OK,0.024986,0,325778256.0000004,,,,
662,2,3,OK,0.035089999999999996,0,739859.9999999999,OK,0.029775,0,739859.9999999999,OK,0.03483,0,746236.0000000001,,,,
693,2,3,OK,0.01934,0,503754.0,OK,0.025943,0,503754.0,OK,0.019271,0,503754.0,,,,
760,2,3,OK,0.022584,1,375162.53049999976,OK,0.026737999999999998,1,375198.79528000025,OK,0.019294,1,375329.685345,,,,
765,3,3,OK,0.03082,0,116678016.00000012,OK,0.278609,1,116556217.38560826,OK,0.117671,1,116685440.44903204,,,,
766,2,3,OK,0.019204,0,444912.00000000006,OK,0.027338,0,444912.00000000006,OK,0.019001,0,444912.00000000006,,,,
863,2,3,OK,0.034229,0,328720.0,OK,0.030400999999999997,0,328720.0,OK,0.018177000000000002,0,328720.0,,,,
910,2,3,OK,0.019136,1,354546.2533759997,OK,0.026938999999999998,1,358080.9263359999,OK,0.018749000000000002,1,364762.18240000034,,,,
928,2,3,OK,0.018982,0,794000.0000000001,OK,0.025099,0,794000.0000000001,OK,0.018113,0,794000.0000000001,,,,
975,2,4,OK,0.023144,0,332252.99999999994,OK,0.033483,0,332252.99999999994,OK,0.07091499999999999,1,332297.83468,,,,
980,2,3,OK,0.020265000000000002,1,252994.892171,OK,0.026847000000000003,1,252994.892171,OK,0.017874,1,253002.97477899998,,,,
999,3,3,OK,0.027219,0,185823800.0000001,OK,0.190056,1,167189012.98400036,OK,0.069553,1,185831138.86399984,,,,
1002,2,5,OK,0.026398,0,447000.00000000006,OK,0.05534,0,447000.00000000006,OK,0.026968000000000002,0,447000.00000000006,,,,
1008,2,3,OK,0.02002,0,746461.0000000003,OK,0.026320999999999997,0,746461.0000000003,OK,0.018308,0,746461.0000000003,,,,
1019,2,3,OK,0.018994999999999998,1,334445.76,OK,0.029343,1,337025.73128400004,OK,0.019512,1,345471.75810000044,,,,
1064,2,3,OK,0.019103,0,387768.0000000004,OK,0.025347,0,387768.0000000004,OK,0.018029,0,387768.0000000004,,,,
1066,3,3,OK,0.025344,1,103149830.78400023,OK,0.045495,1,105548110.97600009,OK,0.02556,1,106428661.031,,,,
1105,3,17,OK,0.131551,0,326199599.9999996,OK,0.21882600000000002,0,326199599.9999996,OK,7.757578,0,488991999.9999988,,,,
1156,2,3,OK,0.019025,1,249999.9999359999,OK,0.025814999999999998,1,249999.9999359999,OK,0.01857,1,249999.9999359999,,,,
1193,2,3,OK,0.01932,1,254216.5583999997,OK,0.02508,1,254209.92806900002,OK,0.018642,1,254244.478389,,,,
1198,2,3,OK,0.019313999999999998,1,251760.5547660001,OK,0.025178,1,251757.8022959997,OK,0.018229,1,251763.02234999984,,,,
1214,2,3,OK,0.022788,0,442000.00000000023,OK,0.02735,0,442000.00000000023,OK,0.075027,1,533038.4125000001,,,,
1223,2,3,OK,0.018629,0,503150.00000000006,OK,0.026069,0,503150.00000000006,OK,0.019099,0,503150.00000000006,,,,
1241,2,5,OK,0.026811,1,291452.199,OK,0.056291999999999995,1,291303.90075999976,OK,0.028869,1,291493.9161599999,,,,
1252,3,3,OK,0.023731,1,57769147.53561611,OK,0.043565,1,59714875.67601606,OK,0.025749,1,59718770.00060406,,,,
1287,2,3,OK,0.020331000000000002,0,686000.0000000002,OK,0.029722000000000002,0,686000.0000000002,OK,0.018666,0,686000.0000000002,,,,
1348,5,6,OK,1.078682,2,5952477164400.008,OK,849.2612320000003,3,2518749999999.9995,OK,356.258517,3,6129614308147.199,,,,
1399,2,5,OK,0.028810000000000002,0,298099.99999999965,OK,0.039352,0,298099.99999999965,OK,0.028354,0,298099.99999999965,,,,
1407,3,3,OK,0.027691000000000004,1,99818081.99999993,OK,0.548079,2,94721272.55136012,OK,0.273252,2,105288281.38993506,,,,
1416,2,3,OK,0.022788,0,620585.0000000009,OK,0.033083,0,620585.0000000009,OK,0.022945,0,620585.0000000009,,,,
1495,2,10,OK,0.059076,0,571999.9999999998,OK,0.08693300000000001,0,571999.9999999998,OK,0.13788599999999998,0,597024.9999999997,,,,
1545,2,8,OK,0.045313,1,251249.81350500011,OK,0.082789,1,251249.5055199999,OK,0.048081,1,251249.31250000012,,,,
1548,2,8,OK,0.05184400000000002,1,334288.705568,OK,0.069367,1,334940.15029999963,OK,0.045058,1,337026.4488119997,,,,
1579,2,3,OK,0.019431,1,271949.0949120002,OK,0.027586000000000003,1,271923.33120000013,OK,0.023312,1,271949.4248000001,,,,
1621,3,7,OK,0.060515,1,197947749.99999958,OK,0.100358,1,197950921.1189999,OK,0.06644800000000001,1,197952560.07100013,,,,
1635,2,3,OK,0.021036000000000003,0,514254.0,OK,0.02855,0,514254.0,OK,0.018266,0,514254.0,,,,
1670,2,5,OK,0.031293,1,468411.91334400047,OK,0.062266999999999996,1,470133.9624,OK,0.031954,1,472809.9734159997,,,,
1675,2,4,OK,0.031952999999999995,1,249999.99999999985,OK,0.040283,1,249999.99999999985,OK,0.027188999999999998,1,249999.99999999985,,,,
1692,2,5,OK,0.027767,0,401467.99999999977,OK,0.038933999999999996,0,401467.99999999977,OK,0.081205,1,420156.1848010003,,,,
1703,3,3,OK,0.33169,2,37037037.035259336,OK,0.640133,2,37037037.035259336,OK,0.375429,2,37037037.035259336,,,,
1716,2,4,OK,0.026972000000000003,0,249999.99999999985,OK,0.033315,0,249999.99999999985,OK,0.023781999999999998,0,249999.99999999985,,,,
